Sample,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,5668,-208,16988,134,-34,-214
1,5660,-248,17000,97,-46,-209
2,5676,-172,17016,93,-39,-216
3,5672,-240,16980,126,-32,-193
4,5696,-276,16968,99,-22,-218
5,5708,-288,17020,131,-39,-187
6,5708,-192,16996,84,-28,-163
7,5684,-200,16984,97,-49,-213
8,5656,-292,17100,108,17,-208
9,5680,-184,16920,131,-20,-203
10,5628,-232,17064,105,8,-202
11,5668,-236,16992,92,-25,-197
12,5704,-192,17028,106,0,-188
13,5676,-224,16912,109,-47,-185
14,5688,-264,16932,112,-28,-226
15,5636,-256,16952,124,-25,-185
16,5628,-224,17060,90,-16,-214
17,5620,-284,17056,113,-20,-201
18,5732,-240,17052,95,-41,-231
19,5720,-308,17008,115,-42,-196
20,5704,-288,16992,127,-34,-238
21,5644,-240,16976,107,-41,-220
22,5656,-264,16992,108,-45,-214
23,5660,-312,16976,104,-10,-240
24,5684,-272,16992,101,2,-217
25,5604,-324,16972,93,-44,-224
26,5688,-220,17056,123,-5,-222
27,5628,-264,17000,100,-34,-211
28,5636,-228,17012,107,8,-202
29,5688,-248,16928,99,0,-248
30,5704,-276,16976,126,-15,-208
31,5680,-216,17000,102,-61,-191
32,5728,-304,16968,117,-30,-180
33,5588,-272,16964,117,-32,-210
34,5636,-232,16996,90,-28,-232
35,5660,-208,16956,108,-54,-227
36,5684,-312,17044,113,-21,-225
37,5704,-244,16996,95,-56,-214
38,5724,-308,16932,84,-75,-196
39,5784,-244,17072,82,-93,-220
40,5704,-256,17084,73,-112,-193
41,5728,-268,17000,46,-33,-202
42,5688,-284,16892,41,12,-201
43,5180,15276,17044,-5339,8,-15444
44,6724,1612,21408,1375,3013,-5805
45,6376,3800,19264,25183,-131,3735
46,4156,3488,16980,6287,2261,-735
47,6264,7992,16068,7783,2734,-133
48,2912,2532,16976,8626,3260,-7040
49,2172,6420,16524,24722,-4072,-10035
50,2372,11868,12468,22023,1121,-3459
51,3004,12448,12044,9395,-423,-2166
52,1664,12184,11868,5380,261,-333
53,1992,13636,10380,20268,-1026,-171
54,2004,14440,7876,3092,-102,29
55,1848,12788,11808,-16049,2303,-256
56,1272,7100,17672,796,-560,-746
57,1036,5356,16456,-18436,2989,2109
58,1104,2776,18604,-10310,976,2318
59,-1048,40,17348,-11942,2205,1951
60,-1400,-3800,16156,-32768,5439,8961
61,-1216,-9608,15932,-5822,-50,3287
62,-3108,-10528,13712,-2313,1878,-1087
63,-3236,-10184,13012,2187,-899,-405
64,-2736,-9228,14828,1414,-126,404
65,-2312,-7188,15872,14525,-692,-979
66,-2704,-180,16560,32767,-3307,-1624
67,-1256,2800,17012,13731,-151,706
68,-1028,6328,16296,13967,-1471,71
69,-620,10516,13696,2433,-1194,-395
70,352,11356,12920,3668,-1096,-283
71,-1008,11104,11228,20049,-5328,-1557
72,-332,13400,8300,1610,-1060,-768
73,24,13652,11460,-132,-841,-595
74,-264,12944,11136,1352,-664,-1049
75,-868,12056,11552,-21271,2712,3386
76,328,5184,17608,-15121,3563,5274
77,-3152,1900,15584,-17638,2567,-1976
78,-520,-6268,19644,-15010,6644,-2902
79,-2520,-7736,15832,-7274,2095,-1231
80,-3072,-7412,15236,363,-747,768
81,-2204,-7212,16540,-1994,16,2460
82,-2896,-7068,15932,9508,-667,-4713
83,-2012,-3524,17092,15500,-1388,-3692
84,-1368,-600,18660,11326,-3208,2254
85,-1224,2284,18008,11896,-3006,-1195
86,-128,4572,16884,5942,-1810,-1127
87,964,9556,15064,18527,-3670,3600
88,1084,9856,15316,4430,-1871,-3389
89,-760,4124,16592,-24515,3020,-6891
90,-3956,-2084,15912,-13151,278,1013
91,-2084,-4152,16920,-3748,-1236,3764
92,-2996,-7692,16344,-11211,-2101,2008
93,-3316,-7384,14992,4995,-123,814
94,-3152,-6948,16468,9210,53,3392
95,-2624,-3820,18452,1834,4233,-6278
96,-3268,-4864,16416,8844,-824,-820
97,-3144,-3932,18304,7914,610,56
98,-3456,-1392,17064,3655,1264,335
99,-2884,-824,16768,428,-181,-2214
100,-3624,-3272,17216,575,-329,-7
101,-3316,-2344,16480,-203,139,-683
102,-3228,-3380,17672,-1427,-264,768
103,-3356,-3312,17244,3642,-640,-263
104,-3024,-1432,17276,5687,-185,4
105,-3624,-656,16660,1281,55,-831
106,-3216,460,17280,6973,-718,-2521
107,-3044,1320,17468,2291,-253,-174
108,-3000,2744,17100,7480,-210,-604
109,-2708,4212,16652,2046,-329,296
110,-2392,3688,18244,2202,-81,1
111,-2628,5052,16924,4813,176,-619
112,-2348,7248,16528,5086,162,629
113,-2500,8288,15412,-1977,-27,625
114,-2336,7600,15620,2105,482,-1218
115,-2608,11392,12204,4649,-972,-1159
116,-2512,10856,13016,6605,-677,-2804
117,-2860,11372,12576,2149,-613,-804
118,-2312,11248,13664,-1454,528,104
119,-3128,10572,12512,-1400,28,-14
120,-3020,10792,12504,5177,-1057,-1019
121,-2588,11380,12660,-2030,-51,-345
122,-2720,10412,13684,-159,-330,240
123,-2308,8964,14216,2106,-1898,2449
124,-324,12640,11988,2469,-5193,5885
125,660,11572,13572,-6958,-3321,3091
126,2252,10968,14712,-1854,-4275,1164
127,2636,5040,14340,32767,-7606,-4520
128,4012,9672,14580,-7197,-132,1889
129,5488,10020,14084,-6957,-1935,4357
130,5436,7344,14704,-4520,-2221,1556
131,5684,6680,15040,-4685,-240,1976
132,5084,5064,14356,-1320,240,1222
133,6932,6080,16472,2355,75,-1783
134,6380,5536,16212,-147,458,275
135,5308,4888,16128,-775,311,-141
136,4920,4188,16464,-1587,503,-2726
137,4820,3936,16600,-2170,1817,-4027
138,2192,1228,16548,-11866,3025,5154
139,2896,-1764,18684,-847,1417,1905
140,3304,-976,18492,-9513,299,3608
141,1872,-2828,16616,-11794,3765,-2265
142,1052,-7988,14892,-10507,716,10695
143,188,-11256,18832,-19016,13652,-4794
144,-1544,-12084,14504,-4967,362,425
145,-1544,-10820,13384,5181,930,-2932
146,-2300,-10024,12832,7596,2497,2859
147,-3076,-10360,14568,6320,4323,2863
148,-4628,-9312,14140,5447,5444,11003
149,-5796,-1400,14008,13751,-195,1269
150,-5972,-3060,17232,-8203,2150,-985
151,-6540,-2424,16412,-1182,1342,-2432
152,-6664,-2288,15176,2138,872,-1814
153,-6780,-2160,15272,-248,132,1523
154,-7160,-3132,15420,-389,751,467
155,-6968,-1572,15112,1501,520,436
156,-7072,-980,15492,1374,-376,17
157,-6632,-268,15512,2566,221,-1075
158,-6236,916,16564,1557,1190,-1723
159,-6420,1300,16800,6251,-1186,-1633
160,-6888,2304,16040,3792,-2467,-991
161,-5548,5448,15480,5716,-1591,-1654
162,-5192,6588,13532,6525,-2993,43
163,-4824,7196,14936,8074,-3129,-1951
164,-3316,9648,14736,1456,-4576,419
165,-2840,11108,13276,23142,-5072,3181
166,-1832,14760,10144,-3096,-634,2194
167,-1444,13416,8692,455,162,1255
168,-1092,14712,8448,-3884,60,1208
169,-992,13680,9328,-1705,-824,2490
170,948,13372,10096,-3802,962,7327
171,2092,12256,11144,-13950,3857,8758
172,2524,14768,9024,-11268,4192,820
173,1472,11552,13884,-11053,1819,1555
174,2848,9020,16892,-1445,-2571,4569
175,2504,7136,15352,-2564,94,3195
176,3452,7248,15828,-2775,-2687,896
177,4904,7632,15504,-154,-2051,5763
178,5360,5636,16704,-5570,197,-2904
179,5332,4608,16448,2792,-875,-5159
180,5084,4992,16864,-3017,417,914
181,4272,3704,16928,-2566,726,-1075
182,4476,3852,17060,-4712,1526,-2735
183,2616,2684,17428,-8200,3639,4634
184,2124,332,17476,-2076,1827,1716
185,620,48,17616,-8698,2884,4180
186,452,-964,17548,-11116,3731,5697
187,-48,-5824,17780,-4931,-37,2051
188,-1480,-6448,16076,-11487,3750,-195
189,-3316,-9848,14184,-4663,857,2769
190,-3408,-10736,13864,-1457,1887,2162
191,-3684,-10004,14156,-2704,2975,3914
192,-5372,-9776,12108,-567,725,-261
193,-5424,-10516,12132,3649,-220,-808
194,-5472,-10104,13216,2326,-490,44
195,-5260,-10304,13028,2049,-372,611
196,-5188,-9108,13356,-95,83,-51
197,-4956,-8996,13984,2849,-997,-336
198,-4708,-8804,14512,677,-942,543
199,-4648,-8288,14692,1038,-20,-908
200,-4280,-7892,15056,1799,-299,-1691
201,-4284,-7480,14792,2640,-378,-1303
202,-4040,-7564,15048,1184,-265,-1103
203,-4036,-7232,14744,905,-54,-1290
204,-3896,-7524,15432,564,-425,-764
205,-3740,-7128,15104,282,-189,-313
206,-3392,-6536,15656,6640,-1082,-2810
207,-3532,-5456,17004,11523,-2316,-269
208,-1560,2216,16528,2429,1755,-1367
209,-2104,1984,16856,3663,-118,-1460
210,-1772,3088,17152,8241,-1557,-2609
211,-1152,2060,18464,-1516,-6062,6928
212,1152,9456,14268,8931,-4114,2860
213,1676,5828,15644,-2322,-1214,1740
214,2500,5124,17076,-5812,-1016,1543
215,3024,4732,16768,-2053,-308,-298
216,2392,3548,17268,-2389,1059,-940
217,2404,2816,17600,-912,93,-577
218,2640,3380,17424,-1913,639,611
219,2504,3628,17368,-853,787,-1731
